,E,I_sym,I_asym,ICU,Daily_infected,Reinfection,Sequela 1,Sequela 2,Sequela 3,Sequela 4,Sequela 5,Sequela 6
48,73,991,419,202,36,0,1116,798,799,811,811,799
49,59,860,353,179,23,1,1102,774,774,784,786,774
50,56,752,299,171,20,0,1106,766,767,779,779,767
51,50,652,260,159,20,0,1073,783,783,796,796,784
52,52,557,225,149,12,1,1118,768,769,781,781,769
53,43,506,198,137,15,1,1139,816,817,829,829,817
54,44,435,165,129,13,0,1127,810,810,821,823,810
55,41,364,142,113,10,1,1153,805,806,817,818,806
56,33,331,130,98,15,0,1104,831,831,843,842,831
57,33,285,115,87,12,0,1138,778,779,788,791,779
58,22,250,99,82,14,1,1085,823,824,835,835,823
59,22,212,89,82,7,2,1180,826,826,839,839,827
60,19,185,76,77,10,2,1089,846,847,859,859,847
61,21,166,66,64,5,0,1148,867,865,877,877,868
62,16,152,55,55,9,0,1161,782,783,792,795,783
63,11,131,48,51,5,1,1146,827,827,840,840,828
64,12,106,41,47,5,0,1129,849,849,862,861,848
65,14,91,35,46,2,0,1162,864,865,876,876,865
66,11,87,29,40,5,1,1160,847,848,858,860,848
67,10,74,26,35,4,1,1167,878,877,890,890,878
68,7,68,21,29,5,3,1102,817,818,830,830,818
69,6,58,19,25,2,0,1114,793,793,805,806,793
70,6,47,17,20,1,1,1193,797,798,810,810,798
71,6,38,16,19,2,1,1172,891,891,903,901,892
72,6,34,13,18,2,0,1145,842,838,853,852,843
73,4,33,14,14,3,1,1113,781,781,786,793,781
